"SCHEMA","TABLE_NAME","COLUMNS"
"WORLD_BANK_INTL_DEBT","COUNTRY_SERIES_DEFINITIONS","COUNTRY_CODE, SERIES_CODE, DESCRIPTION"
"WORLD_BANK_INTL_DEBT","COUNTRY_SUMMARY","COUNTRY_CODE, SHORT_NAME, TABLE_NAME, LONG_NAME, TWO_ALPHA_CODE, CURRENCY_UNIT, SPECIAL_NOTES, REGION, INCOME_GROUP, WB_2_CODE, NATIONAL_ACCOUNTS_BASE_YEAR, NATIONAL_ACCOUNTS_REFERENCE_YEAR, SNA_PRICE_VALUATION, LENDING_CATEGORY, OTHER_GROUPS, SYSTEM_OF_NATIONAL_ACCOUNTS, ALTERNATIVE_CONVERSION_FACTOR, PPP_SURVEY_YEAR, BALANCE_OF_PAYMENTS_MANUAL_IN_USE, EXTERNAL_DEBT_REPORTING_STATUS, SYSTEM_OF_TRADE, GOVERNMENT_ACCOUNTING_CONCEPT, IMF_DATA_DISSEMINATION_STANDARD, LATEST_POPULATION_CENSUS, LATEST_HOUSEHOLD_SURVEY, SOURCE_OF_MOST_RECENT_INCOME_AND_EXPENDITURE_DATA, VITAL_REGISTRATION_COMPLETE, LATEST_AGRICULTURAL_CENSUS, LATEST_INDUSTRIAL_DATA, LATEST_TRADE_DATA, LATEST_WATER_WITHDRAWAL_DATA"
"WORLD_BANK_INTL_DEBT","INTERNATIONAL_DEBT","COUNTRY_NAME, COUNTRY_CODE, INDICATOR_NAME, INDICATOR_CODE, YEAR, VALUE"
"WORLD_BANK_INTL_DEBT","SERIES_SUMMARY","SERIES_CODE, TOPIC, INDICATOR_NAME, SHORT_DEFINITION, LONG_DEFINITION, UNIT_OF_MEASURE, PERIODICITY, BASE_PERIOD, OTHER_NOTES, AGGREGATION_METHOD, LIMITATIONS_AND_EXCEPTIONS, NOTES_FROM_ORIGINAL_SOURCE, GENERAL_COMMENTS, SOURCE, STATISTICAL_CONCEPT_AND_METHODOLOGY, DEVELOPMENT_RELEVANCE, RELATED_SOURCE_LINKS, OTHER_WEB_LINKS, RELATED_INDICATORS, LICENSE_TYPE"
"WORLD_BANK_INTL_DEBT","SERIES_TIMES","SERIES_CODE, DESCRIPTION, YEAR"
"WORLD_BANK_INTL_DEBT","COUNTRY_DEBT_SUMMARY","SUMMARY_ID, COUNTRY_CODE, COUNTRY_NAME,SHORT_NAME,REGION,INCOME_GROUP,CURRENCY_UNIT,INDICATOR_NAME,INDICATOR_CODE, YEAR, DEBT_VALUE"
"WORLD_BANK_INTL_DEBT","COUNTRY_DEBT_TREND","TREND_ID, COUNTRY_CODE, COUNTRY_NAME, REGION, INCOME_GROUP, CURRENCY_UNIT, INDICATOR_CODE, INDICATOR_NAME, YEAR, DEBT_VALUE, PREV_YEAR_DEBT, YOY_CHANGE_VALUE, YOY_CHANGE_PCT, TREND_DIRECTION"
"WORLD_BANK_INTL_DEBT","REGION_INCOME_DEBT_SUMMARY","SUMMARY_ID, REGION, INCOME_GROUP, INDICATOR_CODE, INDICATOR_NAME, YEAR, TOTAL_DEBT, AVG_DEBT, MAX_DEBT, MIN_DEBT, COUNTRY_COUNT, DEBT_SPREAD, DISTINCT_INDICATOR_COUNT"
"WORLD_BANK_INTL_DEBT","INDICATOR_DEBT_BREAKDOWN","BREAKDOWN_ID, INDICATOR_CODE, INDICATOR_NAME, TOPIC, SHORT_DEFINITION, UNIT_OF_MEASURE, YEAR, TOTAL_DEBT, AVG_DEBT, COUNTRY_COUNT, PERIODICITY, AGGREGATION_METHOD, LICENSE_TYPE, SOURCE_ORGANIZATION"
"WORLD_BANK_INTL_DEBT","HIGH_DEBT_COUNTRY_PROFILE","PROFILE_ID, COUNTRY_CODE, COUNTRY_NAME, SHORT_NAME, REGION, INCOME_GROUP, CURRENCY_UNIT, INDICATOR_CODE, TOTAL_DEBT, AVG_DEBT, MAX_DEBT_YEAR, MIN_DEBT_YEAR, LENDING_CATEGORY, PPP_SURVEY_YEAR, EXTERNAL_DEBT_STATUS"
"WORLD_BANK_INTL_DEBT","DEBT_SERIES_ACTIVITY_LOG","LOG_ID, SERIES_CODE, COUNTRY_CODE, DESCRIPTION, YEAR, TOPIC, INDICATOR_NAME, UNIT_OF_MEASURE, PERIODICITY, AGGREGATION_METHOD, LAST_RECORDED_YEAR, BASE_PERIOD, DATA_SOURCE"
