"SCHEMA","TABLE_NAME","COLUMNS"
"WORLD_BANK_WDI","COUNTRY_SERIES_DEFINITIONS","COUNTRY_CODE, SERIES_CODE, DESCRIPTION"
"WORLD_BANK_WDI","COUNTRY_SUMMARY","COUNTRY_CODE, SHORT_NAME, TABLE_NAME, LONG_NAME, TWO_ALPHA_CODE, CURRENCY_UNIT, SPECIAL_NOTES, REGION, INCOME_GROUP, WB_2_CODE, NATIONAL_ACCOUNTS_BASE_YEAR, NATIONAL_ACCOUNTS_REFERENCE_YEAR, SNA_PRICE_VALUATION, LENDING_CATEGORY, OTHER_GROUPS, SYSTEM_OF_NATIONAL_ACCOUNTS, ALTERNATIVE_CONVERSION_FACTOR, PPP_SURVEY_YEAR, BALANCE_OF_PAYMENTS_MANUAL_IN_USE, EXTERNAL_DEBT_REPORTING_STATUS, SYSTEM_OF_TRADE, GOVERNMENT_ACCOUNTING_CONCEPT, IMF_DATA_DISSEMINATION_STANDARD, LATEST_POPULATION_CENSUS, LATEST_HOUSEHOLD_SURVEY, SOURCE_OF_MOST_RECENT_INCOME_AND_EXPENDITURE_DATA, VITAL_REGISTRATION_COMPLETE, LATEST_AGRICULTURAL_CENSUS, LATEST_INDUSTRIAL_DATA, LATEST_TRADE_DATA"
"WORLD_BANK_WDI","COUNTRY_INDICATOR_TREND","TREND_ID, COUNTRY_CODE, COUNTRY_NAME, REGION, INCOME_GROUP, INDICATOR_CODE, INDICATOR_NAME, YEAR, INDICATOR_VALUE, CURRENCY_UNIT, LENDING_CATEGORY, SNA_PRICE_VALUATION, PREV_YEAR_VALUE, YOY_CHANGE_VALUE"
"WORLD_BANK_WDI","REGION_INDICATOR_SUMMARY","SUMMARY_ID, REGION, INCOME_GROUP, INDICATOR_CODE, INDICATOR_NAME, YEAR, TOTAL_VALUE, AVG_VALUE, MAX_VALUE, MIN_VALUE, COUNTRY_COUNT, RECORD_COUNT, VALUE_SPREAD"
"WORLD_BANK_WDI","COUNTRY_DATA_QUALITY_AUDIT","AUDIT_ID, COUNTRY_CODE, COUNTRY_NAME, REGION, INCOME_GROUP, SERIES_CODE, INDICATOR_NAME, YEAR, INDICATOR_VALUE, FOOTNOTE_DESCRIPTION, HAS_FOOTNOTE, NULL_VALUE_FLAG, DATA_SOURCE, COUNTRY_SPECIAL_NOTES, CENSUS_DATA_AVAILABLE"
"WORLD_BANK_WDI","FOOTNOTES","COUNTRY_CODE, SERIES_CODE, DESCRIPTION, YEAR"
"WORLD_BANK_WDI","INCOME_GROUP_INDICATOR_PROFILE","PROFILE_ID, INCOME_GROUP, INDICATOR_CODE, INDICATOR_NAME, YEAR, COUNTRY_COUNT, AVG_VALUE, MAX_VALUE, MIN_VALUE, TOTAL_VALUE, SERIES_CODE, DISTINCT_REGIONS_COUNT, VALUE_SPREAD"
"WORLD_BANK_WDI","INDICATORS_DATA","COUNTRY_NAME, COUNTRY_CODE, INDICATOR_NAME, INDICATOR_CODE, VALUE, YEAR"
"WORLD_BANK_WDI","SERIES_SUMMARY","SERIES_CODE, TOPIC, INDICATOR_NAME, SHORT_DEFINITION, LONG_DEFINITION, UNIT_OF_MEASURE, PERIODICITY, BASE_PERIOD, OTHER_NOTES, AGGREGATION_METHOD, LIMITATIONS_AND_EXCEPTIONS, NOTES_FROM_ORIGINAL_SOURCE, GENERAL_COMMENTS, SOURCE, STATISTICAL_CONCEPT_AND_METHODOLOGY, DEVELOPMENT_RELEVANCE, RELATED_SOURCE_LINKS, OTHER_WEB_LINKS, RELATED_INDICATORS, LICENSE_TYPE"
"WORLD_BANK_WDI","SERIES_TOPIC_COVERAGE","COVERAGE_ID, SERIES_CODE, TOPIC, INDICATOR_NAME, UNIT_OF_MEASURE, PERIODICITY, TOTAL_COUNTRIES, TOTAL_RECORDS, AVG_VALUE, DATA_COMPLETENESS_PCT, LICENSE_TYPE, SOURCE_AGENCY, BASE_PERIOD"
"WORLD_BANK_WDI","SERIES_TIME","DESCRIPTION, SERIES_CODE, YEAR"
